run_id,subject,exercise,restimulus,rerepetition,n_samples,first_source_row,last_source_row,duration_seconds,segment_type
134,10,2,7,7,481,156514,156994,4.81,active
135,10,2,0,0,358,156995,157352,3.58,rest
136,10,2,7,8,423,157353,157775,4.23,active
137,10,2,0,0,413,157776,158188,4.13,rest
138,10,2,7,9,420,158189,158608,4.2,active
139,10,2,0,0,436,158609,159044,4.36,rest
140,10,2,7,10,420,159045,159464,4.2,active
141,10,2,0,0,436,159465,159900,4.36,rest
142,10,2,8,1,439,159901,160339,4.39,active
143,10,2,0,0,485,160340,160824,4.85,rest
144,10,2,8,2,446,160825,161270,4.46,active
145,10,2,0,0,342,161271,161612,3.42,rest
146,10,2,8,3,418,161613,162030,4.18,active
147,10,2,0,0,369,162031,162399,3.69,rest
148,10,2,8,4,452,162400,162851,4.52,active
149,10,2,0,0,431,162852,163282,4.31,rest
150,10,2,8,5,409,163283,163691,4.09,active
151,10,2,0,0,427,163692,164118,4.27,rest
152,10,2,8,6,323,164119,164441,3.23,active
153,10,2,0,0,528,164442,164969,5.28,rest
154,10,2,8,7,395,164970,165364,3.95,active
155,10,2,0,0,429,165365,165793,4.29,rest
156,10,2,8,8,302,165794,166095,3.02,active
157,10,2,0,0,516,166096,166611,5.16,rest
158,10,2,8,9,436,166612,167047,4.36,active
159,10,2,0,0,451,167048,167498,4.51,rest
160,10,2,8,10,319,167499,167817,3.19,active
161,10,2,0,0,538,167818,168355,5.38,rest
162,10,2,9,1,510,168356,168865,5.1,active
163,10,2,0,0,280,168866,169145,2.8,rest
164,10,2,9,2,390,169146,169535,3.9,active
165,10,2,0,0,475,169536,170010,4.75,rest
166,10,2,9,3,365,170011,170375,3.65,active
167,10,2,0,0,454,170376,170829,4.54,rest
168,10,2,9,4,407,170830,171236,4.07,active
169,10,2,0,0,438,171237,171674,4.38,rest
170,10,2,9,5,545,171675,172219,5.45,active
171,10,2,0,0,318,172220,172537,3.18,rest
172,10,2,9,6,333,172538,172870,3.33,active
173,10,2,0,0,472,172871,173342,4.72,rest
174,10,2,9,7,494,173343,173836,4.94,active
175,10,2,0,0,381,173837,174217,3.81,rest
176,10,2,9,8,351,174218,174568,3.51,active
177,10,2,0,0,444,174569,175012,4.44,rest
178,10,2,9,9,396,175013,175408,3.96,active
179,10,2,0,0,479,175409,175887,4.79,rest
180,10,2,9,10,472,175888,176359,4.72,active
181,10,2,0,0,385,176360,176744,3.85,rest
182,10,2,10,1,379,176745,177123,3.79,active
183,10,2,0,0,413,177124,177536,4.13,rest
184,10,2,10,2,357,177537,177893,3.57,active
185,10,2,0,0,489,177894,178382,4.89,rest
186,10,2,10,3,371,178383,178753,3.71,active
187,10,2,0,0,441,178754,179194,4.41,rest
188,10,2,10,4,360,179195,179554,3.6,active
189,10,2,0,0,489,179555,180043,4.89,rest
190,10,2,10,5,313,180044,180356,3.13,active
191,10,2,0,0,532,180357,180888,5.32,rest
192,10,2,10,6,350,180889,181238,3.5,active
193,10,2,0,0,470,181239,181708,4.7,rest
194,10,2,10,7,321,181709,182029,3.21,active
195,10,2,0,0,524,182030,182553,5.24,rest
196,10,2,10,8,343,182554,182896,3.43,active
197,10,2,0,0,471,182897,183367,4.71,rest
198,10,2,10,9,414,183368,183781,4.14,active
199,10,2,0,0,415,183782,184196,4.15,rest
200,10,2,10,10,368,184197,184564,3.68,active
201,10,2,0,0,541,184565,185105,5.41,rest
202,10,2,11,1,350,185106,185455,3.5,active
203,10,2,0,0,453,185456,185908,4.53,rest
204,10,2,11,2,328,185909,186236,3.28,active
205,10,2,0,0,484,186237,186720,4.84,rest
206,10,2,11,3,327,186721,187047,3.27,active
207,10,2,0,0,504,187048,187551,5.04,rest
208,10,2,11,4,517,187552,188068,5.17,active
209,10,2,0,0,334,188069,188402,3.34,rest
210,10,2,11,5,315,188403,188717,3.15,active
211,10,2,0,0,548,188718,189265,5.48,rest
212,10,2,11,6,291,189266,189556,2.91,active
213,10,2,0,0,531,189557,190087,5.31,rest
214,10,2,11,7,352,190088,190439,3.52,active
215,10,2,0,0,477,190440,190916,4.77,rest
216,10,2,11,8,375,190917,191291,3.75,active
217,10,2,0,0,444,191292,191735,4.44,rest
218,10,2,11,9,457,191736,192192,4.57,active
219,10,2,0,0,387,192193,192579,3.87,rest
220,10,2,11,10,483,192580,193062,4.83,active
221,10,2,0,0,372,193063,193434,3.72,rest
222,10,2,12,1,383,193435,193817,3.83,active
223,10,2,0,0,402,193818,194219,4.02,rest
224,10,2,12,2,429,194220,194648,4.29,active
225,10,2,0,0,439,194649,195087,4.39,rest
226,10,2,12,3,387,195088,195474,3.87,active
227,10,2,0,0,419,195475,195893,4.19,rest
228,10,2,12,4,393,195894,196286,3.93,active
229,10,2,0,0,485,196287,196771,4.85,rest
230,10,2,12,5,326,196772,197097,3.26,active
231,10,2,0,0,510,197098,197607,5.1,rest
232,10,2,12,6,339,197608,197946,3.39,active
233,10,2,0,0,508,197947,198454,5.08,rest
234,10,2,12,7,332,198455,198786,3.32,active
235,10,2,0,0,484,198787,199270,4.84,rest
236,10,2,12,8,314,199271,199584,3.14,active
237,10,2,0,0,541,199585,200125,5.41,rest
238,10,2,12,9,306,200126,200431,3.06,active
239,10,2,0,0,533,200432,200964,5.33,rest
240,10,2,12,10,272,200965,201236,2.72,active
241,10,2,0,0,582,201237,201818,5.82,rest
242,10,2,13,1,403,201819,202221,4.03,active
243,10,2,0,0,424,202222,202645,4.24,rest
244,10,2,13,2,316,202646,202961,3.16,active
245,10,2,0,0,522,202962,203483,5.22,rest
246,10,2,13,3,362,203484,203845,3.62,active
247,10,2,0,0,477,203846,204322,4.77,rest
248,10,2,13,4,345,204323,204667,3.45,active
249,10,2,0,0,498,204668,205165,4.98,rest
250,10,2,13,5,302,205166,205467,3.02,active
251,10,2,0,0,527,205468,205994,5.27,rest
252,10,2,13,6,255,205995,206249,2.55,active
253,10,2,0,0,604,206250,206853,6.04,rest
254,10,2,13,7,258,206854,207111,2.58,active
255,10,2,0,0,560,207112,207671,5.6,rest
256,10,2,13,8,331,207672,208002,3.31,active
257,10,2,0,0,496,208003,208498,4.96,rest
258,10,2,13,9,308,208499,208806,3.08,active
259,10,2,0,0,538,208807,209344,5.38,rest
260,10,2,13,10,274,209345,209618,2.74,active
261,10,2,0,0,615,209619,210233,6.15,rest
262,10,2,14,1,304,210234,210537,3.04,active
263,10,2,0,0,511,210538,211048,5.11,rest
264,10,2,14,2,395,211049,211443,3.95,active
265,10,2,0,0,428,211444,211871,4.28,rest
266,10,2,14,3,339,211872,212210,3.39,active
267,10,2,0,0,506,212211,212716,5.06,rest
268,10,2,14,4,277,212717,212993,2.77,active
269,10,2,0,0,529,212994,213522,5.29,rest
270,10,2,14,5,303,213523,213825,3.03,active
271,10,2,0,0,554,213826,214379,5.54,rest
272,10,2,14,6,305,214380,214684,3.05,active
273,10,2,0,0,521,214685,215205,5.21,rest
274,10,2,14,7,305,215206,215510,3.05,active
275,10,2,0,0,586,215511,216096,5.86,rest
276,10,2,14,8,237,216097,216333,2.37,active
277,10,2,0,0,624,216334,216957,6.24,rest
278,10,2,14,9,270,216958,217227,2.7,active
279,10,2,0,0,499,217228,217726,4.99,rest
280,10,2,14,10,325,217727,218051,3.25,active
281,10,2,0,0,636,218052,218687,6.36,rest
282,10,2,15,1,303,218688,218990,3.03,active
283,10,2,0,0,470,218991,219460,4.7,rest
284,10,2,15,2,371,219461,219831,3.71,active
285,10,2,0,0,471,219832,220302,4.71,rest
286,10,2,15,3,369,220303,220671,3.69,active
287,10,2,0,0,468,220672,221139,4.68,rest
288,10,2,15,4,440,221140,221579,4.4,active
289,10,2,0,0,415,221580,221994,4.15,rest
290,10,2,15,5,430,221995,222424,4.3,active
291,10,2,0,0,352,222425,222776,3.52,rest
292,10,2,15,6,406,222777,223182,4.06,active
293,10,2,0,0,444,223183,223626,4.44,rest
294,10,2,15,7,332,223627,223958,3.32,active
295,10,2,0,0,530,223959,224488,5.3,rest
296,10,2,15,8,338,224489,224826,3.38,active
297,10,2,0,0,474,224827,225300,4.74,rest
298,10,2,15,9,330,225301,225630,3.3,active
299,10,2,0,0,518,225631,226148,5.18,rest
300,10,2,15,10,329,226149,226477,3.29,active
301,10,2,0,0,574,226478,227051,5.74,rest
302,10,2,16,1,452,227052,227503,4.52,active
303,10,2,0,0,325,227504,227828,3.25,rest
304,10,2,16,2,392,227829,228220,3.92,active
305,10,2,0,0,452,228221,228672,4.52,rest
306,10,2,16,3,401,228673,229073,4.01,active
307,10,2,0,0,421,229074,229494,4.21,rest
308,10,2,16,4,392,229495,229886,3.92,active
309,10,2,0,0,458,229887,230344,4.58,rest
310,10,2,16,5,374,230345,230718,3.74,active
311,10,2,0,0,433,230719,231151,4.33,rest
312,10,2,16,6,484,231152,231635,4.84,active
313,10,2,0,0,354,231636,231989,3.54,rest
314,10,2,16,7,416,231990,232405,4.16,active
315,10,2,0,0,400,232406,232805,4.0,rest
316,10,2,16,8,392,232806,233197,3.92,active
317,10,2,0,0,443,233198,233640,4.43,rest
318,10,2,16,9,386,233641,234026,3.86,active
319,10,2,0,0,514,234027,234540,5.14,rest
320,10,2,16,10,272,234541,234812,2.72,active
321,10,2,0,0,549,234813,235361,5.49,rest
322,10,2,17,1,381,235362,235742,3.81,active
323,10,2,0,0,484,235743,236226,4.84,rest
324,10,2,17,2,392,236227,236618,3.92,active
325,10,2,0,0,388,236619,237006,3.88,rest
326,10,2,17,3,438,237007,237444,4.38,active
327,10,2,0,0,394,237445,237838,3.94,rest
328,10,2,17,4,355,237839,238193,3.55,active
329,10,2,0,0,484,238194,238677,4.84,rest
330,10,2,17,5,451,238678,239128,4.51,active
331,10,2,0,0,382,239129,239510,3.82,rest
332,10,2,17,6,509,239511,240019,5.09,active
333,10,2,0,0,316,240020,240335,3.16,rest
334,10,2,17,7,428,240336,240763,4.28,active
335,10,2,0,0,470,240764,241233,4.7,rest
336,10,2,17,8,413,241234,241646,4.13,active
337,10,2,0,0,389,241647,242035,3.89,rest
338,10,2,17,9,441,242036,242476,4.41,active
339,10,2,0,0,385,242477,242861,3.85,rest
340,10,2,17,10,437,242862,243298,4.37,active
341,10,2,0,0,393,243299,243691,3.93,rest
342,10,3,0,0,436,243692,244127,4.36,rest
343,10,3,1,1,397,244128,244524,3.97,active
344,10,3,0,0,410,244525,244934,4.1,rest
345,10,3,1,2,478,244935,245412,4.78,active
346,10,3,0,0,342,245413,245754,3.42,rest
347,10,3,1,3,307,245755,246061,3.07,active
348,10,3,0,0,525,246062,246586,5.25,rest
349,10,3,1,4,408,246587,246994,4.08,active
350,10,3,0,0,423,246995,247417,4.23,rest
351,10,3,1,5,428,247418,247845,4.28,active
352,10,3,0,0,383,247846,248228,3.83,rest
353,10,3,1,6,434,248229,248662,4.34,active
354,10,3,0,0,433,248663,249095,4.33,rest
355,10,3,1,7,432,249096,249527,4.32,active
356,10,3,0,0,389,249528,249916,3.89,rest
357,10,3,1,8,359,249917,250275,3.59,active
358,10,3,0,0,489,250276,250764,4.89,rest
359,10,3,1,9,390,250765,251154,3.9,active
360,10,3,0,0,429,251155,251583,4.29,rest
361,10,3,1,10,381,251584,251964,3.81,active
362,10,3,0,0,1738,251965,253702,17.38,rest
363,10,3,2,1,435,253703,254137,4.35,active
364,10,3,0,0,477,254138,254614,4.77,rest
365,10,3,2,2,261,254615,254875,2.61,active
366,10,3,0,0,583,254876,255458,5.83,rest
367,10,3,2,3,230,255459,255688,2.3,active
368,10,3,0,0,540,255689,256228,5.4,rest
369,10,3,2,4,347,256229,256575,3.47,active
370,10,3,0,0,448,256576,257023,4.48,rest
371,10,3,2,5,371,257024,257394,3.71,active
372,10,3,0,0,433,257395,257827,4.33,rest
373,10,3,2,6,462,257828,258289,4.62,active
374,10,3,0,0,369,258290,258658,3.69,rest
375,10,3,2,7,450,258659,259108,4.5,active
376,10,3,0,0,407,259109,259515,4.07,rest
377,10,3,2,8,345,259516,259860,3.45,active
378,10,3,0,0,472,259861,260332,4.72,rest
379,10,3,2,9,366,260333,260698,3.66,active
380,10,3,0,0,609,260699,261307,6.09,rest
381,10,3,2,10,317,261308,261624,3.17,active
382,10,3,0,0,709,261625,262333,7.09,rest
383,10,3,3,1,368,262334,262701,3.68,active
384,10,3,0,0,388,262702,263089,3.88,rest
385,10,3,3,2,284,263090,263373,2.84,active
386,10,3,0,0,440,263374,263813,4.4,rest
387,10,3,3,3,386,263814,264199,3.86,active
388,10,3,0,0,468,264200,264667,4.68,rest
389,10,3,3,4,425,264668,265092,4.25,active
390,10,3,0,0,464,265093,265556,4.64,rest
391,10,3,3,5,270,265557,265826,2.7,active
392,10,3,0,0,477,265827,266303,4.77,rest
393,10,3,3,6,470,266304,266773,4.7,active
394,10,3,0,0,412,266774,267185,4.12,rest
395,10,3,3,7,432,267186,267617,4.32,active
396,10,3,0,0,397,267618,268014,3.97,rest
397,10,3,3,8,457,268015,268471,4.57,active
398,10,3,0,0,355,268472,268826,3.55,rest
399,10,3,3,9,475,268827,269301,4.75,active
400,10,3,0,0,429,269302,269730,4.29,rest
401,10,3,3,10,300,269731,270030,3.0,active
402,10,3,0,0,1379,270031,271409,13.79,rest
403,10,3,4,1,434,271410,271843,4.34,active
404,10,3,0,0,380,271844,272223,3.8,rest
405,10,3,4,2,338,272224,272561,3.38,active
406,10,3,0,0,488,272562,273049,4.88,rest
407,10,3,4,3,345,273050,273394,3.45,active
408,10,3,0,0,473,273395,273867,4.73,rest
409,10,3,4,4,432,273868,274299,4.32,active
410,10,3,0,0,461,274300,274760,4.61,rest
411,10,3,4,5,262,274761,275022,2.62,active
412,10,3,0,0,552,275023,275574,5.52,rest
413,10,3,4,6,361,275575,275935,3.61,active
414,10,3,0,0,465,275936,276400,4.65,rest
415,10,3,4,7,399,276401,276799,3.99,active
416,10,3,0,0,438,276800,277237,4.38,rest
417,10,3,4,8,341,277238,277578,3.41,active
418,10,3,0,0,491,277579,278069,4.91,rest
419,10,3,4,9,360,278070,278429,3.6,active
420,10,3,0,0,455,278430,278884,4.55,rest
421,10,3,4,10,410,278885,279294,4.1,active
422,10,3,0,0,1322,279295,280616,13.22,rest
423,10,3,5,1,404,280617,281020,4.04,active
424,10,3,0,0,417,281021,281437,4.17,rest
425,10,3,5,2,454,281438,281891,4.54,active
426,10,3,0,0,348,281892,282239,3.48,rest
427,10,3,5,3,459,282240,282698,4.59,active
428,10,3,0,0,446,282699,283144,4.46,rest
429,10,3,5,4,348,283145,283492,3.48,active
430,10,3,0,0,462,283493,283954,4.62,rest
431,10,3,5,5,417,283955,284371,4.17,active
432,10,3,0,0,417,284372,284788,4.17,rest
433,10,3,5,6,286,284789,285074,2.86,active
434,10,3,0,0,498,285075,285572,4.98,rest
435,10,3,5,7,435,285573,286007,4.35,active
436,10,3,0,0,441,286008,286448,4.41,rest
437,10,3,5,8,310,286449,286758,3.1,active
438,10,3,0,0,523,286759,287281,5.23,rest
439,10,3,5,9,363,287282,287644,3.63,active
440,10,3,0,0,461,287645,288105,4.61,rest
441,10,3,5,10,457,288106,288562,4.57,active
442,10,3,0,0,1430,288563,289992,14.3,rest
443,10,3,6,1,463,289993,290455,4.63,active
444,10,3,0,0,322,290456,290777,3.22,rest
445,10,3,6,2,337,290778,291114,3.37,active
446,10,3,0,0,511,291115,291625,5.11,rest
447,10,3,6,3,326,291626,291951,3.26,active
448,10,3,0,0,503,291952,292454,5.03,rest
449,10,3,6,4,355,292455,292809,3.55,active
450,10,3,0,0,454,292810,293263,4.54,rest
451,10,3,6,5,412,293264,293675,4.12,active
452,10,3,0,0,403,293676,294078,4.03,rest
453,10,3,6,6,472,294079,294550,4.72,active
454,10,3,0,0,458,294551,295008,4.58,rest
455,10,3,6,7,271,295009,295279,2.71,active
456,10,3,0,0,485,295280,295764,4.85,rest
457,10,3,6,8,350,295765,296114,3.5,active
458,10,3,0,0,519,296115,296633,5.19,rest
459,10,3,6,9,385,296634,297018,3.85,active
460,10,3,0,0,425,297019,297443,4.25,rest
461,10,3,6,10,421,297444,297864,4.21,active
462,10,3,0,0,932,297865,298796,9.32,rest
463,10,3,7,1,421,298797,299217,4.21,active
464,10,3,0,0,396,299218,299613,3.96,rest
465,10,3,7,2,505,299614,300118,5.05,active
466,10,3,0,0,343,300119,300461,3.43,rest
467,10,3,7,3,342,300462,300803,3.42,active
468,10,3,0,0,473,300804,301276,4.73,rest
469,10,3,7,4,404,301277,301680,4.04,active
470,10,3,0,0,434,301681,302114,4.34,rest
471,10,3,7,5,379,302115,302493,3.79,active
472,10,3,0,0,436,302494,302929,4.36,rest
473,10,3,7,6,439,302930,303368,4.39,active
474,10,3,0,0,434,303369,303802,4.34,rest
475,10,3,7,7,332,303803,304134,3.32,active
476,10,3,0,0,484,304135,304618,4.84,rest
477,10,3,7,8,377,304619,304995,3.77,active
478,10,3,0,0,451,304996,305446,4.51,rest
479,10,3,7,9,347,305447,305793,3.47,active
480,10,3,0,0,519,305794,306312,5.19,rest
481,10,3,7,10,369,306313,306681,3.69,active
482,10,3,0,0,608,306682,307289,6.08,rest
483,10,3,8,1,487,307290,307776,4.87,active
484,10,3,0,0,310,307777,308086,3.1,rest
485,10,3,8,2,484,308087,308570,4.84,active
486,10,3,0,0,372,308571,308942,3.72,rest
487,10,3,8,3,378,308943,309320,3.78,active
488,10,3,0,0,434,309321,309754,4.34,rest
489,10,3,8,4,409,309755,310163,4.09,active
490,10,3,0,0,434,310164,310597,4.34,rest
491,10,3,8,5,379,310598,310976,3.79,active
492,10,3,0,0,458,310977,311434,4.58,rest
493,10,3,8,6,406,311435,311840,4.06,active
494,10,3,0,0,446,311841,312286,4.46,rest
495,10,3,8,7,348,312287,312634,3.48,active
496,10,3,0,0,477,312635,313111,4.77,rest
497,10,3,8,8,396,313112,313507,3.96,active
498,10,3,0,0,448,313508,313955,4.48,rest
499,10,3,8,9,418,313956,314373,4.18,active
500,10,3,0,0,422,314374,314795,4.22,rest
501,10,3,8,10,405,314796,315200,4.05,active
502,10,3,0,0,938,315201,316138,9.38,rest
503,10,3,9,1,334,316139,316472,3.34,active
504,10,3,0,0,429,316473,316901,4.29,rest
505,10,3,9,2,351,316902,317252,3.51,active
506,10,3,0,0,463,317253,317715,4.63,rest
507,10,3,9,3,386,317716,318101,3.86,active
508,10,3,0,0,468,318102,318569,4.68,rest
509,10,3,9,4,338,318570,318907,3.38,active
510,10,3,0,0,480,318908,319387,4.8,rest
511,10,3,9,5,375,319388,319762,3.75,active
512,10,3,0,0,492,319763,320254,4.92,rest
513,10,3,9,6,314,320255,320568,3.14,active
514,10,3,0,0,601,320569,321169,6.01,rest
515,10,3,9,7,247,321170,321416,2.47,active
516,10,3,0,0,547,321417,321963,5.47,rest
517,10,3,9,8,317,321964,322280,3.17,active
518,10,3,0,0,485,322281,322765,4.85,rest
519,10,3,9,9,287,322766,323052,2.87,active
520,10,3,0,0,548,323053,323600,5.48,rest
521,10,3,9,10,345,323601,323945,3.45,active
522,10,3,0,0,1006,323946,324951,10.06,rest
523,10,3,10,1,359,324952,325310,3.59,active
524,10,3,0,0,465,325311,325775,4.65,rest
525,10,3,10,2,332,325776,326107,3.32,active
526,10,3,0,0,497,326108,326604,4.97,rest
527,10,3,10,3,384,326605,326988,3.84,active
528,10,3,0,0,455,326989,327443,4.55,rest
529,10,3,10,4,466,327444,327909,4.66,active
530,10,3,0,0,372,327910,328281,3.72,rest
531,10,3,10,5,357,328282,328638,3.57,active
532,10,3,0,0,492,328639,329130,4.92,rest
533,10,3,10,6,322,329131,329452,3.22,active
534,10,3,0,0,535,329453,329987,5.35,rest
535,10,3,10,7,305,329988,330292,3.05,active
536,10,3,0,0,514,330293,330806,5.14,rest
537,10,3,10,8,366,330807,331172,3.66,active
538,10,3,0,0,489,331173,331661,4.89,rest
539,10,3,10,9,399,331662,332060,3.99,active
540,10,3,0,0,454,332061,332514,4.54,rest
541,10,3,10,10,397,332515,332911,3.97,active
542,10,3,0,0,1378,332912,334289,13.78,rest
543,10,3,11,1,486,334290,334775,4.86,active
544,10,3,0,0,275,334776,335050,2.75,rest
545,10,3,11,2,443,335051,335493,4.43,active
546,10,3,0,0,401,335494,335894,4.01,rest
547,10,3,11,3,338,335895,336232,3.38,active
548,10,3,0,0,468,336233,336700,4.68,rest
549,10,3,11,4,415,336701,337115,4.15,active
550,10,3,0,0,456,337116,337571,4.56,rest
551,10,3,11,5,434,337572,338005,4.34,active
552,10,3,0,0,369,338006,338374,3.69,rest
553,10,3,11,6,467,338375,338841,4.67,active
554,10,3,0,0,410,338842,339251,4.1,rest
555,10,3,11,7,364,339252,339615,3.64,active
556,10,3,0,0,530,339616,340145,5.3,rest
557,10,3,11,8,279,340146,340424,2.79,active
558,10,3,0,0,490,340425,340914,4.9,rest
559,10,3,11,9,429,340915,341343,4.29,active
560,10,3,0,0,429,341344,341772,4.29,rest
561,10,3,11,10,384,341773,342156,3.84,active
562,10,3,0,0,1093,342157,343249,10.93,rest
563,10,3,12,1,359,343250,343608,3.59,active
564,10,3,0,0,370,343609,343978,3.7,rest
565,10,3,12,2,407,343979,344385,4.07,active
566,10,3,0,0,475,344386,344860,4.75,rest
